년도별 산불통계,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계
2023,05,25,14:37,목,2023,05,25,16:37,경기,경기,포천,영중,금주,담,기타(직접입력),담뱃불실화,0.03
2023,05,25,12:48,목,2023,05,25,14:25,전북,전북,장수,장계,송천,기,기타(직접입력),고속도로차량화재,0.05
2023,05,23,16:52,화,2023,05,23,20:00,북부,강원,횡성,서원,창촌,,주택화재비화,축사화재추정,0.8
2023,05,23,16:30,화,2023,05,23,16:45,경기,경기,의정부,,민락,기,기타(직접입력),미상,0.02
2023,05,23,14:43,화,2023,05,23,15:50,경기,경기,고양,덕양,용두,쓰,기타(직접입력),쓰레기소각,0.1
2023,05,23,13:39,화,2023,05,23,14:39,경북,경북,청도,이서,흥선,기,기타(직접입력),성묘객실화,0.01
2023,05,22,19:39,월,2023,05,22,20:20,경기,경기,과천,,막계,기,기타(직접입력),미상,0.01
2023,05,17,21:42,수,2023,05,18,02:01,경기,경기,화성,,중,기,기타(직접입력),미상,0.13
2023,05,17,16:35,수,2023,05,17,17:40,세종,세종,,,용포,입,기타(직접입력),입산자실화추정,0.02
2023,05,17,11:10,수,2023,05,17,13:00,강원,강원,평창,대화,대화,기,기타(직접입력),미상,0.3
2023,05,17,10:44,수,2023,05,17,14:30,충남,충남,당진,,원당,기,기타(직접입력),조사중(묘지향불발화추정),0.5
2023,05,16,14:35,화,2023,05,16,17:00,충남,충남,청양,장평,적곡,입,기타(직접입력),입산자실화,0.03
2023,05,16,13:44,화,2023,05,16,15:20,경북,경북,포항 북,홍해,대련,기,기타(직접입력),조사중,0.1
2023,05,16,13:39,화,2023,05,17,14:20,세종,세종,,,원성,기,작업장실화,용접불씨부주의,0.13
2023,05,12,13:48,금,2023,05,12,15:30,경남,경남,합천,가야,죽전,입,기타(직접입력),입산자실화추정,0.01
2023,05,12,09:08,금,2023,05,12,09:29,부산,부산,연제,,연산,입,기타(직접입력),입산자실화추정,0.01
2023,05,10,16:12,수,2023,05,10,17:17,경기,경기,연천,전곡,간파,기,기타(직접입력),미상,0.01
2023,05,10,12:01,수,2023,05,10,14:30,강원,강원,화천,사내,사창,기,기타(직접입력),미상,0.1
2023,05,04,15:38,목,2023,05,04,18:38,강원,강원,정선,화암,화암,기,기타(직접입력),조사중,1
2023,05,04,15:16,목,2023,05,04,15:40,충북,충북,영동,학산,봉소,기,기타(직접입력),조사중,0.02
2023,05,04,11:18,목,2023,05,04,11:45,부산,부산,연제,,연산,입,기타(직접입력),입산자실화추정,0.01
2023,05,03,16:28,수,2023,05,03,17:50,강원,강원,영월,한반도,쌍용,기,기타(직접입력),미상,0.2
2023,05,03,14:09,수,2023,05,03,16:20,경기,경기,연천,전곡,간파,쓰,기타(직접입력),쓰레기소각,0.1
2023,05,03,13:55,수,2023,05,03,19:10,강원,강원,영월,김삿갓,예밀,,기타(직접입력),밭두렁소각,1.4
2023,05,03,12:51,수,2023,05,03,18:00,충남,충남,부여,홍산,토정,입,기타(직접입력),입산자실화추정,3
2023,05,03,12:27,수,2023,05,03,20:00,북부,강원,양구,국토정중앙,명곶,입,기타(직접입력),입산자실화추정,2
